Bus Number,Bus Name,Sub ID,Sub Name
45044,CAPPON15,3337408690,Captain Jack
45046,CAPPON16,3337408690,Captain Jack
45047,CHILQUIN,3337409332,Chiloquin
45048,CHILAP11,3337409332,Chiloquin
45051,COLD SPR,3337409756,Cold Springs
45063,COPCO,3341136831,Copco 1
45075,DALREED,3337410535,Dalreed
45089,DIA HILL,3337427366,Diamond Hill
45093,DIXONVLE,3337411001,Dixonville
45095,DIXONVLE,3337411001,Dixonville
45096,ALVDIX11,3337411001,Dixonville
45103,HURICANE,3352749973,Hurricane
45111,FRY,3337413143,Fry
45113,GLENDL,3337413533,Glendale
45123,GRANT PS,3337413829,Grants Pass
45128,COVE 230,3337410194,Cove
45129,HAT ROCK,3337414421,Hat Rock
45137,HERMISTN,3337414608,Hermiston Power Project
45153,ISTHMUS,3337428270,Isthmus
45160,DR E TP,3337410535,Dalreed
45161,KLAFALLS,3341136828,COB Energy Facility
45162,DR W TP,3337410535,Dalreed
45183,LONEPINE,3337417000,Lone Pine
45189,MALIN,3337417425,Malin
45195,MERIDINP,3337418010,Meridian
45197,MERIDINP,3337418010,Meridian
45199,DIXMER11,3337418010,Meridian
45229,OUTLOOK,3337420132,Outlook
45239,PILOTBT,3337420757,Pilot Butte
45245,POMONA H,3337420273,Pamona Heights
45262,KFALLS,3341136828,COB Energy Facility
45287,SWIFT 1,3337424647,Swift
45301,TROUTPP1,3337429325,Troutdale
45303,TROUTPP2,3337429325,Troutdale
45317,UNIONGAP,3337429530,Union Gap
45327,WALAWALA,3337427717,Walla Walla
45331,WALLULA,3337427736,Wallula
45334,HURWAL11,3337427717,Walla Walla
45543,SWIFT 2,3337424647,Swift
45588,PARISHGP,25000918,Parish Gap
46001,ANC LK T,3353098173,Ancient Lake
46005,ANCIENTL,3353098173,Ancient Lake
46041,MAE VL,3353098178,Mac Valley
46043,MAE VL T,3353098178,Mac Valley
46044,GENEVA,,
46045,MATTAWA,30004092,Mattawa
46065,PRIEST R,3337421284,Priest Rapids
46066,PRIESTR1,3337421284,Priest Rapids
46069,PRIESTR2,3337421284,Priest Rapids
46089,SANDUNES,3337422782,Sand Dunes
46113,PRIEST T,3337421284,Priest Rapids
46143,SILICON,25000910,Silicon
46144,SILIC TP,25000910,Silicon
46151,LARSON,3337416493,Larson
46152,MCDONALD,3337417812,McDonald
46156,ROCKYFD,3337422176,Rocky Ford
46157,WHEELSWD,3337432446,Wheeler
46158,SIELER,3353098122,Sieler
46159,UPPER C,3353098139,Upper Coulee
46160,WHEELERG,3337432446,Wheeler
46161,BK SANDS,3353098171,Black
46162,BKSAND T,3353098171,Black
46163,WAHLUKE,3337431797,Wahluke (GP)
46164,FRENCHMN,3337412707,Frenchman Hills (USBR)
46165,PRIESTRT,3337421284,Priest Rapids
46166,POTHOLEG,3337421174,Potholes
46169,WANAPUM,3337431892,Wanapum
46289,QUINCYPLA,,
46291,MCKEN TP,3352749856,McKenzie
46293,MCKENZEW,3352749856,McKenzie
46298,WQUINCYT,,
46299,NQUINCYT,,
46300,ROCKYFDG,,
46311,WANAPH1,,
46312,WANAPH2,,
46313,WANAPH3,,
46403,BOTHELL,3337407825,Bothell
46404,BOTSNO11,3337423567,Sno-king
46405,BOTSNO21,3337407825,Bothell
46406,BOTSNO21,3337407825,Bothell
46407,BOTSAM11,3337422702,Sammamish
46408,BOTHRN11,30004298,Horseranch
46415,CRESTON,3337410309,Creston
46416,COVCRE11,3337410205,Covington
46417,DELRIDGE,3337410784,Delridge
46421,DIABLO,3337410919,Diablo
46423,DUWAMISH,3337411301,Duwamish
46424,COVDUW11,3337410205,Covington
46426,DUWMAP11,3337411301,Duwamish
46427,EASTPINE,3337411547,Eastpine
46431,GORGE,3337413681,Gorge (SCL)
46435,MASS,3337417690,Massachusetts
46445,SOUTH,3337423666,South
46460,ROSS 44,3337422288,Ross Dam
46461,ROSS 42,3337422288,Ross Dam
46463,NORTHMTN,3337419562,North Mountain
46465,NORSNO11,3337419562,North Mountain
46476,BOUNDPH1,3337407846,Boundary
